OBJECTID,STATEFP10,COUNTYFP10,TRACTCE10,BLKGRPCE10,GEOID10,NAMELSAD10,geoname,Population,Households,Housing_Units,Vacancy_Rate,Pct_OwnerOccupiedUnits,White,African_American,AmerIn_AlaskaNative,Asian,NatHawaiian_PacIslander,Some_other_race,Two_or_more_races,Hispanic,OwnerOccupiedUnits,GroupQuartersPop,Age0_17,Age18_34,Age35_64,Age65andOver,OnePersonHouseholds,TwoPersonHouseholds,ThreePersonHouseholds,FourPersonHouseholds,FivePersonHouseholds,SixPersonHouseholds,SevenOrMorePersonHouseholds,SqMi,PopSqMi,Pop_2010,Pop_Change,MedianAge,SHAPESTArea,SHAPESTLength
3155,37,119,005618,2,371190056182,Block Group 2,"Block Group 2, Census Tract 56.18, Mecklenburg County, North Carolina",1763,465,496,0.0625,0.80477223,211,1183,36,79,0,0,254,24,465,0,541,533,601,88,40,75,229,66,0,51,4,0.43694326,4034.84882682,1521,11,28.2,12181230.3736107,14680.4688326906
3156,37,119,002003,1,371190020031,Block Group 1,"Block Group 1, Census Tract 20.03, Mecklenburg County, North Carolina",1506,558,571,0.02276708,0.95726496,1349,37,0,109,0,11,0,156,558,39,376,448,464,218,113,191,145,85,24,0,0,0.51308749,2935.17193335,1245,141,33.7,14304001.0783188,21519.8769647384
3157,37,119,006302,3,371190063023,Block Group 3,"Block Group 3, Census Tract 63.02, Mecklenburg County, North Carolina",3213,1113,1128,0.01329787,0.93567251,2107,734,0,253,0,0,119,249,1113,0,849,532,1416,416,135,527,128,204,106,0,13,5.90465271,544.1471595,2447,373,44.5,164611611.668582,62869.3547803672
3158,37,119,005845,2,371190058452,Block Group 2,"Block Group 2, Census Tract 58.45, Mecklenburg County, North Carolina",3230,1106,1149,0.03742385,0.60249554,1558,394,0,1166,0,0,112,334,1106,0,1063,358,1603,206,252,256,221,240,95,42,0,1.47424681,2190.94928888,2538,794,37.2,41099477.9196127,33032.0956791972
3159,37,119,000100,2,371190001002,Block Group 2,"Block Group 2, Census Tract 1, Mecklenburg County, North Carolina",2095,948,1086,0.12707182,0.21199586,1311,298,0,242,0,106,138,132,948,533,90,1457,409,139,506,358,84,0,0,0,0,0.06927611,30241.30540817,1637,308,28.9,1931299.31298477,5561.70702867002
3160,37,119,003806,3,371190038063,Block Group 3,"Block Group 3, Census Tract 38.06, Mecklenburg County, North Carolina",2553,1178,1212,0.02805281,0.01914708,825,390,0,1154,0,92,92,338,1178,0,274,1740,490,49,414,457,256,51,0,0,0,0.43464036,5873.82175001,1769,449,29.1,12117029.3769387,16886.3302161279
3161,37,119,006203,1,371190062031,Block Group 1,"Block Group 1, Census Tract 62.03, Mecklenburg County, North Carolina",1099,447,521,0.14203455,0.87628866,991,86,0,22,0,0,0,17,447,0,222,127,523,227,62,263,50,48,12,12,0,2.27675455,482.7046464,1140,77,52.2,63472020.2465248,38761.1061597176
3162,37,119,005513,3,371190055133,Block Group 3,"Block Group 3, Census Tract 55.13, Mecklenburg County, North Carolina",1068,345,376,0.08244681,0.95638629,685,285,0,18,0,0,80,51,345,0,265,255,489,59,79,114,51,18,63,9,11,0.38560547,2769.6702539,935,39,35.9,10750020.4967799,14437.9375729475
3163,37,119,001911,2,371190019112,Block Group 2,"Block Group 2, Census Tract 19.11, Mecklenburg County, North Carolina",2402,826,866,0.04618938,0.63301501,595,1320,0,216,0,271,0,412,826,5,595,728,765,314,280,105,228,120,82,11,0,0.40102299,5989.68153921,1735,358,32.6,11179834.5539623,17872.1012497909
3164,37,119,005513,1,371190055131,Block Group 1,"Block Group 1, Census Tract 55.13, Mecklenburg County, North Carolina",2184,728,814,0.10565111,0.874613,297,1352,31,276,0,108,120,183,728,0,618,476,936,154,211,152,164,108,87,0,6,0.46844666,4662.21703876,1489,409,35,13059491.245418,17253.250173272
3165,37,119,005609,1,371190056091,Block Group 1,"Block Group 1, Census Tract 56.09, Mecklenburg County, North Carolina",3320,1261,1475,0.14508475,0.06084656,1098,1458,0,483,0,264,17,234,1261,70,227,2678,362,53,649,206,221,179,0,6,0,1.25741603,2640.33535504,3334,334,22.9,35054606.7979736,27423.7420157215
3166,37,119,003400,3,371190034003,Block Group 3,"Block Group 3, Census Tract 34, Mecklenburg County, North Carolina",1676,663,766,0.13446475,0.69522241,1583,0,0,78,0,0,15,0,663,11,472,446,743,15,156,240,106,117,44,0,0,0.24755822,6770.12461957,1172,194,32.5,6901499.46105684,11115.3341949032
3167,37,119,002906,1,371190029061,Block Group 1,"Block Group 1, Census Tract 29.06, Mecklenburg County, North Carolina",926,496,658,0.24620061,0.52478632,880,0,0,46,0,0,0,23,496,0,155,362,400,9,252,158,37,49,0,0,0,0.24771878,3738.10980338,983,366,33.5,6905975.47869453,14680.6795231726
3168,37,119,005909,2,371190059092,Block Group 2,"Block Group 2, Census Tract 59.09, Mecklenburg County, North Carolina",4548,1433,1510,0.05099338,0.47927032,1054,2160,0,1025,0,110,199,560,1433,0,1215,1254,1703,376,211,591,221,166,162,15,67,1.19633641,3801.60627227,2274,1462,33.8,33351811.4503959,23851.0274052438
3169,37,119,005515,1,371190055151,Block Group 1,"Block Group 1, Census Tract 55.15, Mecklenburg County, North Carolina",2488,1001,1131,0.11494253,0.79249012,1658,593,0,119,0,26,92,82,1001,0,644,444,942,458,343,327,100,184,31,7,9,0.86540757,2874.94596332,2482,-64,41.7,24126082.009227,22846.182622235
3170,37,119,003903,1,371190039031,Block Group 1,"Block Group 1, Census Tract 39.03, Mecklenburg County, North Carolina",925,375,375,0,0,7,880,0,20,0,6,12,23,375,0,510,211,122,82,167,52,76,73,7,0,0,1.06364386,869.65199047,1335,-418,12.4,29652570.3409164,24370.2037050415
